gbifID;countryCode;locality;stateProvince;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;eventDate;year;month;day;rightsHolder
4922041769;BR;;Mato Grosso;1;-17.28612;-56.738717;30748;2024-06-23T16:09;2024;6;23;Nick Athanas
4922009547;BR;;Mato Grosso;1;-17.284517;-56.781981;30748;2024-07-18T13:52;2024;7;18;John Sullivan
4922009074;BR;;Mato Grosso;1;-17.256548;-56.70703;30748;2024-07-17T12:58;2024;7;17;John Sullivan
4922001319;AR;;Salta;1;-22.766986;-64.559272;30258;2024-05-30T12:54:38;2024;5;30;Leandro Vásquez
4921990984;BR;;Mato Grosso;1;-17.265908;-56.628586;30748;2024-07-16T10:26;2024;7;16;John Sullivan
4921986299;BR;;Mato Grosso;1;-17.238388;-56.799247;30748;2024-07-17T11:20;2024;7;17;John Sullivan
4921873318;BR;;Mato Grosso;1;-17.257688;-56.620364;30748;2024-06-24T08:33;2024;6;24;Nick Athanas
4921845423;GT;;Petén;1;17.261773;-89.262314;30748;2024-07-25T07:16:13;2024;7;25;Jorge Ramírez
4921783448;GT;;Petén;1;17.279645;-89.247287;30748;2024-07-19T22:26:43;2024;7;19;Jorge Ramírez
4921776884;BR;;Mato Grosso;1;-17.294656;-56.714626;30748;2024-07-16T10:31;2024;7;16;John Sullivan
4921747939;MX;;Jalisco;1;19.647977;-104.424124;30545;2024-07-22T02:31;2024;7;22;fabiolacastanedagarcia
4921732531;BR;;Mato Grosso;1;-17.382332;-56.778545;30748;2024-06-24T11:31;2024;6;24;Nick Athanas
4921730186;BR;;Mato Grosso;1;-16.655429;-56.988573;30795;2024-06-22T16:40;2024;6;22;Nick Athanas
4921695395;BR;;Mato Grosso;1;-17.238432;-56.679274;30748;2024-06-24T09:01;2024;6;24;Nick Athanas
4921597556;BO;;El Beni;1;-14.114957;-66.773888;30981;2024-08-01T14:41:04;2024;8;1;Justin Walker
4921546634;BR;;Mato Grosso;1;-17.242521;-56.730942;30748;2024-07-16T12:19;2024;7;16;John Sullivan
4921520438;BR;;Mato Grosso;1;-17.283331;-56.630021;30748;2024-07-16T05:41;2024;7;16;John Sullivan
4921485496;PE;;Madre de Dios;1;-12.853719;-69.55182;31057;2023-02-17T00:29;2023;2;17;Kato V.
4921434845;BR;;Mato Grosso;1;-17.353275;-56.638646;30748;2024-07-18T07:57;2024;7;18;John Sullivan
4919706492;CO;;Putumayo;1;0.814524;-76.73369;31449;2024-07-10T00:58;2024;7;10;Savimbo
4919705841;CO;;Putumayo;1;0.881132;-76.689648;31449;2024-07-05T21:09;2024;7;5;Savimbo
